observation_date,USSLIND
1/1/1982,-0.89
2/1/1982,-0.38
3/1/1982,-0.15
4/1/1982,-0.11
5/1/1982,-0.05
6/1/1982,-0.03
7/1/1982,-0.06
8/1/1982,-0.23
9/1/1982,-0.2
10/1/1982,0.01
11/1/1982,0.48
12/1/1982,0.94
1/1/1983,1.51
2/1/1983,1.73
3/1/1983,1.82
4/1/1983,1.89
5/1/1983,2.11
6/1/1983,2.6
7/1/1983,2.96
8/1/1983,2.5
9/1/1983,2.74
10/1/1983,3.09
11/1/1983,3.35
12/1/1983,2.93
1/1/1984,3.06
2/1/1984,3.28
3/1/1984,3.04
4/1/1984,2.72
5/1/1984,2.55
6/1/1984,2.48
7/1/1984,2.23
8/1/1984,1.94
9/1/1984,2.03
10/1/1984,1.95
11/1/1984,1.99
12/1/1984,1.84
1/1/1985,2.14
2/1/1985,1.92
3/1/1985,2.02
4/1/1985,2
5/1/1985,2.13
6/1/1985,1.94
7/1/1985,1.87
8/1/1985,2
9/1/1985,2.01
10/1/1985,2.07
11/1/1985,1.87
12/1/1985,1.96
1/1/1986,2.04
2/1/1986,1.54
3/1/1986,1.33
4/1/1986,1.5
5/1/1986,1.54
6/1/1986,1.47
7/1/1986,1.58
8/1/1986,1.53
9/1/1986,1.78
10/1/1986,1.72
11/1/1986,1.75
12/1/1986,2.28
1/1/1987,1.72
2/1/1987,1.9
3/1/1987,1.85
4/1/1987,2.03
5/1/1987,2.15
6/1/1987,1.91
7/1/1987,2.15
8/1/1987,1.98
9/1/1987,2
10/1/1987,2.06
11/1/1987,2.13
12/1/1987,2.03
1/1/1988,1.41
2/1/1988,2.03
3/1/1988,2.18
4/1/1988,2.31
5/1/1988,2.01
6/1/1988,2.28
7/1/1988,2.11
8/1/1988,1.85
9/1/1988,1.62
10/1/1988,2.04
11/1/1988,2.14
12/1/1988,1.97
1/1/1989,1.94
2/1/1989,1.79
3/1/1989,1.71
4/1/1989,1.58
5/1/1989,1.2
6/1/1989,0.94
7/1/1989,0.79
8/1/1989,1.07
9/1/1989,1.09
10/1/1989,1.02
11/1/1989,1.24
12/1/1989,1.25
1/1/1990,1.71
2/1/1990,1.45
3/1/1990,1.67
4/1/1990,1.31
5/1/1990,1.1
6/1/1990,1.07
7/1/1990,0.64
8/1/1990,0.42
9/1/1990,-0.11
10/1/1990,-0.07
11/1/1990,-0.26
12/1/1990,-0.3
1/1/1991,-0.22
2/1/1991,-0.3
3/1/1991,-0.31
4/1/1991,0.05
5/1/1991,0.45
6/1/1991,0.83
7/1/1991,1.22
8/1/1991,0.91
9/1/1991,0.94
10/1/1991,0.82
11/1/1991,0.7
12/1/1991,0.73
1/1/1992,0.83
2/1/1992,1.01
3/1/1992,1.17
4/1/1992,1.28
5/1/1992,1.4
6/1/1992,1.37
7/1/1992,1.23
8/1/1992,1.31
9/1/1992,1.45
10/1/1992,1.75
11/1/1992,1.75
12/1/1992,2.18
1/1/1993,1.79
2/1/1993,2.1
3/1/1993,1.61
4/1/1993,1.64
5/1/1993,1.45
6/1/1993,1.6
7/1/1993,1.92
8/1/1993,2
9/1/1993,2.04
10/1/1993,1.76
11/1/1993,2.09
12/1/1993,2.26
1/1/1994,1.94
2/1/1994,1.95
3/1/1994,2.01
4/1/1994,2.2
5/1/1994,2.2
6/1/1994,2.27
7/1/1994,2.18
8/1/1994,2.4
9/1/1994,2.08
10/1/1994,2.08
11/1/1994,2.14
12/1/1994,2.13
1/1/1995,2.03
2/1/1995,1.68
3/1/1995,1.57
4/1/1995,1.19
5/1/1995,1.04
6/1/1995,1.15
7/1/1995,1.13
8/1/1995,1.62
9/1/1995,1.5
10/1/1995,1.75
11/1/1995,1.48
12/1/1995,1.46
1/1/1996,1.47
2/1/1996,1.45
3/1/1996,1.42
4/1/1996,1.67
5/1/1996,1.79
6/1/1996,2.08
7/1/1996,2
8/1/1996,2
9/1/1996,1.73
10/1/1996,1.63
11/1/1996,1.48
12/1/1996,1.45
1/1/1997,1.61
2/1/1997,1.82
3/1/1997,2.01
4/1/1997,1.91
5/1/1997,2.04
6/1/1997,1.94
7/1/1997,2.03
8/1/1997,1.58
9/1/1997,1.93
10/1/1997,2.02
11/1/1997,2.05
12/1/1997,2.09
1/1/1998,1.88
2/1/1998,1.87
3/1/1998,1.66
4/1/1998,1.88
5/1/1998,1.98
6/1/1998,1.68
7/1/1998,1.67
8/1/1998,1.69
9/1/1998,1.95
10/1/1998,1.69
11/1/1998,1.74
12/1/1998,1.89
1/1/1999,1.66
2/1/1999,1.87
3/1/1999,1.86
4/1/1999,1.8
5/1/1999,1.68
6/1/1999,1.67
7/1/1999,1.86
8/1/1999,1.74
9/1/1999,1.62
10/1/1999,1.69
11/1/1999,1.96
12/1/1999,1.9
1/1/2000,1.61
2/1/2000,1.48
3/1/2000,1.88
4/1/2000,2.13
5/1/2000,1.85
6/1/2000,1.26
7/1/2000,0.99
8/1/2000,1.05
9/1/2000,1.06
10/1/2000,1.19
11/1/2000,0.97
12/1/2000,0.8
1/1/2001,0.95
2/1/2001,0.66
3/1/2001,0.46
4/1/2001,0.26
5/1/2001,0.44
6/1/2001,0.6
7/1/2001,0.28
8/1/2001,0.39
9/1/2001,-0.08
10/1/2001,-0.32
11/1/2001,-0.4
12/1/2001,-0.05
1/1/2002,0.53
2/1/2002,0.71
3/1/2002,0.51
4/1/2002,0.61
5/1/2002,0.73
6/1/2002,0.99
